Atlantic	2722	188	265429
Bergen	19037	1701	936692
Burlington	5046	372	445384
Camden	7153	417	507078
Cape May	692	62	92560
Cumberland	2876	124	150972
Essex	18578	1761	799767
Gloucester	2471	171	291408
Hudson	18755	1266	676061
Hunterdon	1060	67	124714
Mercer	7549	524	369811
Middlesex	16618	1101	829685
Monmouth	8965	696	621354
Morris	6718	643	494228
Ocean	9440	850	601651
Passaic	16772	1015	503310
Salem	752	65	62607
Somerset	4819	440	331164
Sussex	1178	152	140799
Union	16340	1138	558067
Warren	1218	142	105779
Unassigned	656	0	
